OID_,Field1,ID2,lat,long,el,OR_MapunitRaster_10m,RASTERVALU,VAT_MapunitRaster_10m_Count,VAT_MapunitRaster_10m_MUKEY,muaggatt_OBJECTID,muaggatt_musym,muaggatt_muname,muaggatt_mustatus,muaggatt_slopegraddcp,muaggatt_slopegradwta,muaggatt_brockdepmin,muaggatt_wtdepannmin,muaggatt_wtdepaprjunmin,muaggatt_flodfreqdcd,muaggatt_flodfreqmax,muaggatt_pondfreqprs,muaggatt_aws025wta,muaggatt_aws050wta,muaggatt_aws0100wta,muaggatt_aws0150wta,muaggatt_drclassdcd,muaggatt_drclasswettest,muaggatt_hydgrpdcd,muaggatt_iccdcd,muaggatt_iccdcdpct,muaggatt_niccdcd,muaggatt_niccdcdpct,muaggatt_engdwobdcd,muaggatt_engdwbdcd,muaggatt_engdwbll,muaggatt_engdwbml,muaggatt_engstafdcd,muaggatt_engstafll,muaggatt_engstafml,muaggatt_engsldcd,muaggatt_engsldcp,muaggatt_englrsdcd,muaggatt_engcmssdcd,muaggatt_engcmssmp,muaggatt_urbrecptdcd,muaggatt_urbrecptwta,muaggatt_forpehrtdcp,muaggatt_hydclprs,muaggatt_awmmfpwwta,muaggatt_mukey,component_OBJECTID,component_comppct_l,component_comppct_r,component_comppct_h,component_compname,component_compkind,component_majcompflag,component_otherph,component_localphase,component_slope_l,component_slope_r,component_slope_h,component_slopelenusle_l,component_slopelenusle_r,component_slopelenusle_h,component_runoff,component_tfact,component_wei,component_weg,component_erocl,component_earthcovkind1,component_earthcovkind2,component_hydricon,component_hydricrating,component_drainagecl,component_elev_l,component_elev_r,component_elev_h,component_aspectccwise,component_aspectrep,component_aspectcwise,component_geomdesc,component_albedodry_l,component_albedodry_r,component_albedodry_h,component_airtempa_l,component_airtempa_r,component_airtempa_h,component_map_l,component_map_r,component_map_h,component_reannualprecip_l,component_reannualprecip_r,component_reannualprecip_h,component_ffd_l,component_ffd_r,component_ffd_h,component_nirrcapcl,component_nirrcapscl,component_nirrcapunit,component_irrcapcl,component_irrcapscl,component_irrcapunit,component_cropprodindex,component_constreeshrubgrp,component_wndbrksuitgrp,component_rsprod_l,component_rsprod_r,component_rsprod_h,component_foragesuitgrpid,component_wlgrain,component_wlgrass,component_wlherbaceous,component_wlshrub,component_wlconiferous,component_wlhardwood,component_wlwetplant,component_wlshallowwat,component_wlrangeland,component_wlopenland,component_wlwoodland,component_wlwetland,component_soilslippot,component_frostact,component_initsub_l,component_initsub_r,component_initsub_h,component_totalsub_l,component_totalsub_r,component_totalsub_h,component_hydgrp,component_corcon,component_corsteel,component_taxclname,component_taxorder,component_taxsuborder,component_taxgrtgroup,component_taxsubgrp,component_taxpartsize,component_taxpartsizemod,component_taxceactcl,component_taxreaction,component_taxtempcl,component_taxmoistscl,component_taxtempregime,component_soiltaxedition,component_castorieindex,component_flecolcomnum,component_flhe,component_flphe,component_flsoilleachpot,component_flsoirunoffpot,component_fltemik2use,component_fltriumph2use,component_indraingrp,component_innitrateleachi,component_misoimgmtgrp,component_vasoimgtgrp,component_mukey,component_cokey,Valu1_OBJECTID,Valu1_aws0_5,Valu1_aws5_20,Valu1_aws20_50,Valu1_aws50_100,Valu1_aws100_150,Valu1_aws150_999,Valu1_aws0_20,Valu1_aws0_30,Valu1_aws0_100,Valu1_aws0_150,Valu1_aws0_999,Valu1_tk0_5a,Valu1_tk5_20a,Valu1_tk20_50a,Valu1_tk50_100a,Valu1_tk100_150a,Valu1_tk150_999a,Valu1_tk0_20a,Valu1_tk0_30a,Valu1_tk0_100a,Valu1_tk0_150a,Valu1_tk0_999a,Valu1_musumcpcta,Valu1_soc0_5,Valu1_soc5_20,Valu1_soc20_50,Valu1_soc50_100,Valu1_soc100_150,Valu1_soc150_999,Valu1_soc0_20,Valu1_soc0_30,Valu1_soc0_100,Valu1_soc0_150,Valu1_soc0_999,Valu1_tk0_5s,Valu1_tk5_20s,Valu1_tk20_50s,Valu1_tk50_100s,Valu1_tk100_150s,Valu1_tk150_999s,Valu1_tk0_20s,Valu1_tk0_30s,Valu1_tk0_100s,Valu1_tk0_150s,Valu1_tk0_999s,Valu1_musumcpcts,Valu1_nccpi3corn,Valu1_nccpi3soy,Valu1_nccpi3cot,Valu1_nccpi3sg,Valu1_nccpi3all,Valu1_pctearthmc,Valu1_rootznemc,Valu1_rootznaws,Valu1_droughty,Valu1_pwsl1pomu,Valu1_musumcpct,Valu1_mukey,coecoclass_OBJECTID,coecoclass_ecoclasstypename,coecoclass_ecoclassref,coecoclass_ecoclassid,coecoclass_ecoclassname,coecoclass_cokey,coecoclass_coecoclasskey
98,529,75874917,45.521103580000002,-122.701482490000004,.,61776.0000000,61776.0000000,,61776,,18C,"Goble-Urban land complex, 3 to 15 percent slopes",,9.0000000,9.0000000,,82,82,None,None,0,5.5000000,10.5000000,19.8999996,22.3999996,Well drained,Well drained,C,,90,6,50,Very limited,Somewhat limited,Not rated,Not rated,Very limited,Not rated,Very limited,Very limited,Very limited,Very limited,Poor,Not rated,Not limited,0.0000000,Severe,0,1.0000000,61776,,,50,,Goble,Series,Yes,,,3.0000000,9.0000000,15.0000000,,,,,4,56,5,,,,,No,Well drained,61.0000000,275.0000000,488.0000000,293,45,158,hillslopes,0.1600000,0.2300000,0.2300000,8.0000000,9.0000000,10.0000000,1524,1651,1778,,,,120,143,165,6,e,,,,,,,,,,,,,,,,,,,,,,,,,None,0,0,0,,,,C,High,High,"Medial, mesic Andic Fragiumbrepts",Inceptisols,Umbrepts,Fragiumbrepts,Andic Fragiumbrepts,medial,,,not used,mesic,Typic,mesic,,,,,,,,N/A,N/A,,,,,61776,20854365,,7.5000000,15.0000000,30.0000000,47.0000000,12.5000000,1.0000000,22.5000000,32.5000000,99.5000000,112.0000000,113.0000000,2.5000000,7.5000000,15.0000000,25.0000000,25.0000000,2.0000000,10.0000000,15.0000000,50.0000000,75.0000000,77.0000000,50,1292.0000000,2110.0000000,3315.0000000,3150.0000000,1849.0000000,148.0000000,3402.0000000,4809.0000000,9868.0000000,11717.0000000,11864.0000000,3.0000000,8.0000000,15.0000000,25.0000000,25.0000000,2.0000000,10.0000000,15.0000000,50.0000000,75.0000000,77.0000000,50,0.3440000,0.2510000,0.0010000,0.3020000,0.3440000,50,94,188,0,,90,61776,,NRCS Forestland Site,Ecological Site Description Database,F001XC410OR,Mesic Udic Forest,20854365,7157106
99,531,75983648,45.572635405699998,-122.611750289900002,.,61833.0000000,61833.0000000,,61833,,45,"Sauvie silt loam, protected",,1.0000000,1.0000000,,,,Rare,Rare,5,5.0000000,10.0000000,19.9599991,28.0400009,Poorly drained,Poorly drained,C,2,90,2,90,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Somewhat limited,Poor,Poor,Somewhat limited,0.0830000,Slight,95,0.3330000,61833,,,3,,Moag,Series,No ,,,0.0000000,1.0000000,1.0000000,,,,,5,38,7,,,,Wooded under natural conditions,Yes,Very poorly drained,0.0000000,3.0000000,6.0000000,,,,flood plains,0.3000000,0.3000000,0.3700000,11.0000000,12.0000000,12.0000000,1016,1270,1524,,,,165,188,210,3,w,,3,w,,,,,,,,,,,,,,,,,,,,,,Low,0,0,0,,,,D,Moderate,Moderate,"Fine, mixed, nonacid, mesic Typic Fluvaquents",Entisols,Aquents,Fluvaquents,Typic Fluvaquents,fine,,,nonacid,mesic,,mesic,,,,,,,,N/A,N/A,,,,,61833,20854294,,9.5000000,28.5000000,57.0000000,94.6399994,76.7099991,3.0699999,38.0000000,57.0000000,189.6399994,266.3500061,269.4200134,4.7500000,14.2500000,28.5000000,47.5000000,47.5000000,1.9000000,19.0000000,28.5000000,95.0000000,142.5000000,144.3999939,95,1056.0000000,3167.0000000,4980.0000000,5141.0000000,1779.0000000,71.0000000,4223.0000000,6305.0000000,14343.0000000,16122.0000000,16193.0000000,5.0000000,14.0000000,29.0000000,48.0000000,48.0000000,2.0000000,19.0000000,29.0000000,95.0000000,143.0000000,144.0000000,95,0.8980000,0.7950000,0.0010000,0.9340000,0.9340000,90,150,280,0,95,95,61833,,,,,,,
100,532,76047406,45.296525000000003,-122.361083333300002,.,61683.4492188,61683.4492188,,61683,,55,Malabon silty clay loam,,2.0000000,2.0000000,,,,None,None,5,4.7399998,9.4399996,18.8299999,28.2500000,Well drained,Well drained,C,1,85,1,85,Somewhat limited,Somewhat limited,Somewhat limited,Very limited,Very limited,Very limited,Very limited,Somewhat limited,Somewhat limited,Somewhat limited,Poor,Poor,Somewhat limited,0.0860000,Slight,5,0.3350000,61683,,,5,,Conser,Series,No ,,,0.0000000,2.0000000,3.0000000,,,,,5,38,7,,,,Wooded under natural conditions,Yes,Poorly drained,46.0000000,99.0000000,152.0000000,,,,terraces,0.0900000,0.1600000,0.2300000,11.0000000,12.0000000,12.0000000,1016,1143,1524,,,,165,188,210,3,w,,3,w,,,,,,,,,,,,,,,,,,,,,,Low,0,0,0,,,,D,Moderate,Moderate,"Fine, mixed, mesic Typic Argiaquolls",Mollisols,Aquolls,Argiaquolls,Typic Argiaquolls,fine,,,not used,mesic,Typic,mesic,,,,,,,,N/A,N/A,,,,,61683,20855755,,8.5699997,25.6700001,50.7000008,84.5000000,84.7799988,3.4000001,34.2500000,51.1500015,169.4499969,254.2299957,257.6300049,4.5000000,13.5000000,27.0000000,45.0000000,45.0000000,1.8000000,18.0000000,27.0000000,90.0000000,135.0000000,136.8000031,90,1633.0000000,4872.0000000,7374.0000000,7266.0000000,3644.0000000,32.0000000,6505.0000000,9632.0000000,21144.0000000,24788.0000000,24820.0000000,5.0000000,14.0000000,27.0000000,45.0000000,45.0000000,2.0000000,18.0000000,27.0000000,90.0000000,135.0000000,137.0000000,90,0.9140000,0.7380000,0.0010000,0.8720000,0.9140000,85,150,285,0,5,90,61683,,Forage Suitability Groups,,G002XY006OR,Poorly Drained,20855755,7159375
101,533,76049215,45.296525000000003,-122.361083333300002,.,61683.4492188,61683.4492188,,61683,,55,Malabon silty clay loam,,2.0000000,2.0000000,,,,None,None,5,4.7399998,9.4399996,18.8299999,28.2500000,Well drained,Well drained,C,1,85,1,85,Somewhat limited,Somewhat limited,Somewhat limited,Very limited,Very limited,Very limited,Very limited,Somewhat limited,Somewhat limited,Somewhat limited,Poor,Poor,Somewhat limited,0.0860000,Slight,5,0.3350000,61683,,,5,,Conser,Series,No ,,,0.0000000,2.0000000,3.0000000,,,,,5,38,7,,,,Wooded under natural conditions,Yes,Poorly drained,46.0000000,99.0000000,152.0000000,,,,terraces,0.0900000,0.1600000,0.2300000,11.0000000,12.0000000,12.0000000,1016,1143,1524,,,,165,188,210,3,w,,3,w,,,,,,,,,,,,,,,,,,,,,,Low,0,0,0,,,,D,Moderate,Moderate,"Fine, mixed, mesic Typic Argiaquolls",Mollisols,Aquolls,Argiaquolls,Typic Argiaquolls,fine,,,not used,mesic,Typic,mesic,,,,,,,,N/A,N/A,,,,,61683,20855755,,8.5699997,25.6700001,50.7000008,84.5000000,84.7799988,3.4000001,34.2500000,51.1500015,169.4499969,254.2299957,257.6300049,4.5000000,13.5000000,27.0000000,45.0000000,45.0000000,1.8000000,18.0000000,27.0000000,90.0000000,135.0000000,136.8000031,90,1633.0000000,4872.0000000,7374.0000000,7266.0000000,3644.0000000,32.0000000,6505.0000000,9632.0000000,21144.0000000,24788.0000000,24820.0000000,5.0000000,14.0000000,27.0000000,45.0000000,45.0000000,2.0000000,18.0000000,27.0000000,90.0000000,135.0000000,137.0000000,90,0.9140000,0.7380000,0.0010000,0.8720000,0.9140000,85,150,285,0,5,90,61683,,Forage Suitability Groups,,G002XY006OR,Poorly Drained,20855755,7159375
102,534,76051057,45.295683333299998,-122.364366666699993,.,61614.0000000,61614.0000000,,61614,,19,Cloquato silt loam,,2.0000000,2.0000000,,,,Occasional,Occasional,2,5.2300000,10.3299999,20.2900009,27.7199993,Well drained,Well drained,B,,86,2,85,Very limited,Very limited,Not rated,Very limited,Very limited,Not rated,Very limited,Very limited,Very limited,Very limited,Fair,Not rated,Somewhat limited,0.0440000,Slight,3,0.6090000,61614,,,1,,Aquolls,Taxon above family,No ,,,,,,,,,,,,,,,,Wooded under natural conditions,Yes,,,,,,,,flood plains,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aquolls,Mollisols,Aquolls,,,,,,,,,,,,,,,,,N/A,N/A,,,,,61614,20855658,,9.0900002,27.2800007,53.5299988,86.5999985,64.6699982,2.4400001,36.3800011,54.5699997,176.5099945,241.1799927,243.6300049,4.3499999,13.0500002,26.1000004,43.5000000,43.5000000,1.7400000,17.3999996,26.1000004,87.0000000,130.5000000,132.2400055,87,2449.0000000,7346.0000000,10951.0000000,8836.0000000,2785.0000000,72.0000000,9795.0000000,14693.0000000,29582.0000000,32367.0000000,32439.0000000,4.0000000,13.0000000,26.0000000,44.0000000,44.0000000,2.0000000,17.0000000,26.0000000,87.0000000,131.0000000,132.0000000,87,0.9110000,0.7510000,0.0010000,0.8770000,0.9110000,85,150,278,0,3,88,61614,,,,,,,
103,535,76051796,45.295133333300001,-122.364036111100006,.,61614.0000000,61614.0000000,,61614,,19,Cloquato silt loam,,2.0000000,2.0000000,,,,Occasional,Occasional,2,5.2300000,10.3299999,20.2900009,27.7199993,Well drained,Well drained,B,,86,2,85,Very limited,Very limited,Not rated,Very limited,Very limited,Not rated,Very limited,Very limited,Very limited,Very limited,Fair,Not rated,Somewhat limited,0.0440000,Slight,3,0.6090000,61614,,,1,,Aquolls,Taxon above family,No ,,,,,,,,,,,,,,,,Wooded under natural conditions,Yes,,,,,,,,flood plains,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aquolls,Mollisols,Aquolls,,,,,,,,,,,,,,,,,N/A,N/A,,,,,61614,20855658,,9.0900002,27.2800007,53.5299988,86.5999985,64.6699982,2.4400001,36.3800011,54.5699997,176.5099945,241.1799927,243.6300049,4.3499999,13.0500002,26.1000004,43.5000000,43.5000000,1.7400000,17.3999996,26.1000004,87.0000000,130.5000000,132.2400055,87,2449.0000000,7346.0000000,10951.0000000,8836.0000000,2785.0000000,72.0000000,9795.0000000,14693.0000000,29582.0000000,32367.0000000,32439.0000000,4.0000000,13.0000000,26.0000000,44.0000000,44.0000000,2.0000000,17.0000000,26.0000000,87.0000000,131.0000000,132.0000000,87,0.9110000,0.7510000,0.0010000,0.8770000,0.9110000,85,150,278,0,3,88,61614,,,,,,,
104,536,76052738,45.295417637400000,-122.362209968299993,.,61708.4843750,61708.4843750,,61708,,70B,"Powell silt loam, 0 to 8 percent slopes",,4.0000000,4.1999998,,38,38,None,None,0,5.5799999,9.6800003,15.1199999,20.4500008,Somewhat poorly drained,Somewhat poorly drained,D,3,80,3,80,Very limited,Very limited,Not rated,Very limited,Very limited,Not rated,Very limited,Very limited,Very limited,Very limited,Poor,Not rated,Somewhat limited,0.8650000,Moderate,6,1.0000000,61708,,,2,,Aquepts,Taxon above family,No ,,,,,,,,,,,,,,,,Wooded under natural conditions,Yes,,,,,,,,depressions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aquepts,Inceptisols,Aquepts,,,,,,,,,,,,,,,,,N/A,N/A,,,,,61708,20855789,,9.6000004,28.4799995,43.2000008,45.7000008,44.7999992,1.7900000,38.0800018,55.6800003,126.9800034,171.7799988,173.5700073,4.1999998,12.6000004,25.2000008,42.0000000,42.0000000,1.6799999,16.7999992,25.2000008,84.0000000,126.0000000,127.6800003,84,1424.0000000,4007.0000000,3232.0000000,2248.0000000,2219.0000000,89.0000000,5431.0000000,6950.0000000,10911.0000000,13130.0000000,13219.0000000,4.0000000,13.0000000,25.0000000,42.0000000,42.0000000,2.0000000,17.0000000,25.0000000,84.0000000,126.0000000,128.0000000,84,0.5070000,0.3140000,0.0010000,0.4930000,0.5070000,80,38,83,1,6,86,61708,,,,,,,
105,537,76053291,45.297274999999999,-122.348872222200001,.,61721.0000000,61721.0000000,,61721,,77B,"Salem gravelly silt loam, 0 to 7 percent slopes",,4.0000000,4.0000000,,,,None,None,0,3.4500000,6.6999998,9.6899996,11.6899996,Well drained,Well drained,B,2,90,2,90,Not limited,Not limited,Not limited,Not limited,Very limited,Very limited,Very limited,Very limited,Very limited,Not limited,Fair,Fair,Somewhat limited,0.0160000,Moderate,0,1.0000000,61721,,,90,,Salem,Series,Yes,,,0.0000000,4.0000000,7.0000000,,,,,3,56,5,,,,,No,Well drained,61.0000000,130.0000000,198.0000000,,,,stream terraces,0.1600000,0.2300000,0.2300000,10.0000000,11.0000000,12.0000000,1016,1270,1524,,,,165,188,210,2,s,,2,s,,,,,,,,,,,,,,,,,,,,,,Low,0,0,0,,,,B,Moderate,High,"Fine-loamy over sandy or sandy-skeletal, mixed, mesic Pachic Ultic Argixerolls",Mollisols,Xerolls,Argixerolls,Pachic Ultic Argixerolls,fine-loamy over sandy or sandy-skeletal,,,not used,mesic,Typic,mesic,,,,,,,,N/A,N/A,,,,,61721,20855809,,6.3000002,18.8999996,35.0999985,26.9099998,18.0000000,0.7200000,25.2000008,36.9000015,87.2099991,105.2099991,105.9300003,4.5000000,13.5000000,27.0000000,45.0000000,45.0000000,1.8000000,18.0000000,27.0000000,90.0000000,135.0000000,136.8000031,90,1269.0000000,3806.0000000,2960.0000000,1946.0000000,1103.0000000,44.0000000,5074.0000000,6061.0000000,9980.0000000,11083.0000000,11127.0000000,5.0000000,14.0000000,27.0000000,45.0000000,45.0000000,2.0000000,18.0000000,27.0000000,90.0000000,135.0000000,137.0000000,90,0.5910000,0.3270000,0.0010000,0.6300000,0.6300000,90,150,117,1,,90,61721,,NRCS Rangeland Site,Ecological Site Description Database,R002XC006OR,Stream Terrace Group,20855809,7159224
106,538,76054693,45.299227777799999,-122.358616666700001,.,61720.0000000,61720.0000000,,61720,,76C,"Salem silt loam, 7 to 12 percent slopes",,10.0000000,10.0000000,,,,None,None,0,3.4500000,6.6999998,9.6899996,11.6899996,Well drained,Well drained,B,2,90,2,90,Somewhat limited,Somewhat limited,Somewhat limited,Somewhat limited,Very limited,Very limited,Very limited,Very limited,Very limited,Somewhat limited,Fair,Fair,Very limited,1.0000000,Severe,0,1.0000000,61720,,,90,,Salem,Series,Yes,,,7.0000000,10.0000000,12.0000000,,,,,3,56,5,,,,,No,Well drained,61.0000000,130.0000000,198.0000000,113,203,293,stream terraces,0.1600000,0.2300000,0.2300000,10.0000000,11.0000000,12.0000000,1016,1270,1524,,,,165,188,210,2,s,,2,s,,,,,,,,,,,,,,,,,,,,,,Low,0,0,0,,,,B,Moderate,High,"Fine-loamy over sandy or sandy-skeletal, mixed, mesic Pachic Ultic Argixerolls",Mollisols,Xerolls,Argixerolls,Pachic Ultic Argixerolls,fine-loamy over sandy or sandy-skeletal,,,not used,mesic,Typic,mesic,,,,,,,,N/A,N/A,,,,,61720,20855808,,6.3000002,18.8999996,35.0999985,26.9099998,18.0000000,0.7200000,25.2000008,36.9000015,87.2099991,105.2099991,105.9300003,4.5000000,13.5000000,27.0000000,45.0000000,45.0000000,1.8000000,18.0000000,27.0000000,90.0000000,135.0000000,136.8000031,90,1269.0000000,3806.0000000,2960.0000000,1946.0000000,1103.0000000,44.0000000,5074.0000000,6061.0000000,9980.0000000,11083.0000000,11127.0000000,5.0000000,14.0000000,27.0000000,45.0000000,45.0000000,2.0000000,18.0000000,27.0000000,90.0000000,135.0000000,137.0000000,90,0.5720000,0.3130000,0.0010000,0.6150000,0.6150000,90,150,117,1,,90,61720,,NRCS Rangeland Site,Ecological Site Description Database,R002XC006OR,Stream Terrace Group,20855808,7159223
107,544,76299392,45.294998057800001,-122.364976666900006,.,61719.0000000,61719.0000000,,61719,,76B,"Salem silt loam, 0 to 7 percent slopes",,4.0000000,4.0000000,,,,None,None,0,3.4500000,6.6999998,9.6899996,11.6899996,Well drained,Well drained,B,2,85,2,85,Not limited,Not limited,Not limited,Not limited,Very limited,Very limited,Very limited,Very limited,Very limited,Not limited,Fair,Fair,Somewhat limited,0.0160000,Moderate,0,1.0000000,61719,,,85,,Salem,Series,Yes,,,0.0000000,4.0000000,7.0000000,,,,,3,56,5,,,,,No,Well drained,61.0000000,130.0000000,198.0000000,,,,stream terraces,0.1600000,0.2300000,0.2300000,10.0000000,11.0000000,12.0000000,1016,1270,1524,,,,165,188,210,2,s,,2,s,,,,,,,,,,,,,,,,,,,,,,Low,0,0,0,,,,B,Moderate,High,"Fine-loamy over sandy or sandy-skeletal, mixed, mesic Pachic Ultic Argixerolls",Mollisols,Xerolls,Argixerolls,Pachic Ultic Argixerolls,fine-loamy over sandy or sandy-skeletal,,,not used,mesic,Typic,mesic,,,,,,,,N/A,N/A,,,,,61719,20855807,,5.9499998,17.8500004,33.1500015,25.4099998,17.0000000,0.6800000,23.7999992,34.8499985,82.3600006,99.3600006,100.0400009,4.2500000,12.7500000,25.5000000,42.5000000,42.5000000,1.7000000,17.0000000,25.5000000,85.0000000,127.5000000,129.1999969,85,1198.0000000,3594.0000000,2796.0000000,1838.0000000,1042.0000000,42.0000000,4792.0000000,5724.0000000,9426.0000000,10468.0000000,10509.0000000,4.0000000,13.0000000,26.0000000,43.0000000,43.0000000,2.0000000,17.0000000,26.0000000,85.0000000,128.0000000,129.0000000,85,0.5910000,0.3270000,0.0010000,0.6300000,0.6300000,85,150,117,1,,85,61719,,NRCS Rangeland Site,Ecological Site Description Database,R002XC006OR,Stream Terrace Group,20855807,7159222
108,546,76318112,45.657200753900000,-121.867733438599998,.,2595838.0000000,2595838.0000000,,2595838,,NOTCOM,No Digital Data Available,,,,,,,,,0,,,,,,,,,100,,100,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,Not rated,,Not rated,0,,2595838,,,100,,NOTCOM,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,N/A,,,,,2595838,21831339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,100,2595838,,,,,,,
109,547,76342430,45.299424999999999,-122.354327777799995,.,61721.0000000,61721.0000000,,61721,,77B,"Salem gravelly silt loam, 0 to 7 percent slopes",,4.0000000,4.0000000,,,,None,None,0,3.4500000,6.6999998,9.6899996,11.6899996,Well drained,Well drained,B,2,90,2,90,Not limited,Not limited,Not limited,Not limited,Very limited,Very limited,Very limited,Very limited,Very limited,Not limited,Fair,Fair,Somewhat limited,0.0160000,Moderate,0,1.0000000,61721,,,90,,Salem,Series,Yes,,,0.0000000,4.0000000,7.0000000,,,,,3,56,5,,,,,No,Well drained,61.0000000,130.0000000,198.0000000,,,,stream terraces,0.1600000,0.2300000,0.2300000,10.0000000,11.0000000,12.0000000,1016,1270,1524,,,,165,188,210,2,s,,2,s,,,,,,,,,,,,,,,,,,,,,,Low,0,0,0,,,,B,Moderate,High,"Fine-loamy over sandy or sandy-skeletal, mixed, mesic Pachic Ultic Argixerolls",Mollisols,Xerolls,Argixerolls,Pachic Ultic Argixerolls,fine-loamy over sandy or sandy-skeletal,,,not used,mesic,Typic,mesic,,,,,,,,N/A,N/A,,,,,61721,20855809,,6.3000002,18.8999996,35.0999985,26.9099998,18.0000000,0.7200000,25.2000008,36.9000015,87.2099991,105.2099991,105.9300003,4.5000000,13.5000000,27.0000000,45.0000000,45.0000000,1.8000000,18.0000000,27.0000000,90.0000000,135.0000000,136.8000031,90,1269.0000000,3806.0000000,2960.0000000,1946.0000000,1103.0000000,44.0000000,5074.0000000,6061.0000000,9980.0000000,11083.0000000,11127.0000000,5.0000000,14.0000000,27.0000000,45.0000000,45.0000000,2.0000000,18.0000000,27.0000000,90.0000000,135.0000000,137.0000000,90,0.5910000,0.3270000,0.0010000,0.6300000,0.6300000,90,150,117,1,,90,61721,,NRCS Rangeland Site,Ecological Site Description Database,R002XC006OR,Stream Terrace Group,20855809,7159224
110,549,76386517,45.299338888900003,-122.352041666700003,.,61637.0000000,61637.0000000,,61637,,31F,"Dystrochrepts, very steep",,58.0000000,58.0000000,112,137,137,None,None,0,3.9000001,7.4000001,14.3999996,16.0799999,Well drained,Well drained,B,,80,6,80,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Poor,Poor,Very limited,1.0000000,Severe,0,1.0000000,61637,,,80,,Dystrochrepts,Taxon above family,Yes,,,35.0000000,58.0000000,80.0000000,,,,,3,38,7,,,,,No,Well drained,46.0000000,328.0000000,610.0000000,203,315,68,terraces,,0.3000000,,9.0000000,10.0000000,11.0000000,1397,1905,2413,,,,140,170,200,6,e,,,,,,,,,,,,,,,,,,,,,,,,,Low,0,0,0,,,,B,Moderate,High,Dystrochrepts,Inceptisols,Ochrepts,Dystrochrepts,,not used,,,not used,not used,,,,,,,,,,N/A,N/A,,,,,61637,20855693,,6.4000001,19.2000008,33.5999985,56.0000000,13.4399996,,25.6000004,36.7999992,115.1999969,128.6399994,128.6399994,4.0000000,12.0000000,24.0000000,40.0000000,9.6000004,,16.0000000,24.0000000,80.0000000,89.5999985,89.5999985,80,300.0000000,901.0000000,1034.0000000,1723.0000000,413.0000000,,1201.0000000,1545.0000000,3957.0000000,4371.0000000,4371.0000000,4.0000000,12.0000000,24.0000000,40.0000000,10.0000000,,16.0000000,24.0000000,80.0000000,90.0000000,90.0000000,80,0.1350000,0.0470000,0.0010000,0.1150000,0.1350000,80,112,161,0,,80,61637,,NRCS Forestland Site,Ecological Site Description Database,F003XC003OR,Glaciated Western Cascades Mesic Udic Forest Group,20855693,7159141
111,550,76389103,45.297841666700002,-122.349680555600003,.,61721.0000000,61721.0000000,,61721,,77B,"Salem gravelly silt loam, 0 to 7 percent slopes",,4.0000000,4.0000000,,,,None,None,0,3.4500000,6.6999998,9.6899996,11.6899996,Well drained,Well drained,B,2,90,2,90,Not limited,Not limited,Not limited,Not limited,Very limited,Very limited,Very limited,Very limited,Very limited,Not limited,Fair,Fair,Somewhat limited,0.0160000,Moderate,0,1.0000000,61721,,,90,,Salem,Series,Yes,,,0.0000000,4.0000000,7.0000000,,,,,3,56,5,,,,,No,Well drained,61.0000000,130.0000000,198.0000000,,,,stream terraces,0.1600000,0.2300000,0.2300000,10.0000000,11.0000000,12.0000000,1016,1270,1524,,,,165,188,210,2,s,,2,s,,,,,,,,,,,,,,,,,,,,,,Low,0,0,0,,,,B,Moderate,High,"Fine-loamy over sandy or sandy-skeletal, mixed, mesic Pachic Ultic Argixerolls",Mollisols,Xerolls,Argixerolls,Pachic Ultic Argixerolls,fine-loamy over sandy or sandy-skeletal,,,not used,mesic,Typic,mesic,,,,,,,,N/A,N/A,,,,,61721,20855809,,6.3000002,18.8999996,35.0999985,26.9099998,18.0000000,0.7200000,25.2000008,36.9000015,87.2099991,105.2099991,105.9300003,4.5000000,13.5000000,27.0000000,45.0000000,45.0000000,1.8000000,18.0000000,27.0000000,90.0000000,135.0000000,136.8000031,90,1269.0000000,3806.0000000,2960.0000000,1946.0000000,1103.0000000,44.0000000,5074.0000000,6061.0000000,9980.0000000,11083.0000000,11127.0000000,5.0000000,14.0000000,27.0000000,45.0000000,45.0000000,2.0000000,18.0000000,27.0000000,90.0000000,135.0000000,137.0000000,90,0.5910000,0.3270000,0.0010000,0.6300000,0.6300000,90,150,117,1,,90,61721,,NRCS Rangeland Site,Ecological Site Description Database,R002XC006OR,Stream Terrace Group,20855809,7159224
